City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
7,Kindu,CD,79.63,overcast clouds,-2.95,25.95,Résidence Okanda
14,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
16,Benjamin Hill,MX,89.28,broken clouds,30.1667,-111.1,Hotel Benjamín Hill
19,Butaritari,KI,83.97,light rain,3.0707,172.7902,Isles Sunset Lodge
20,Los Banos,PH,79.57,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
26,Hami,CN,85.64,clear sky,42.8,93.45,Laoyutang Resort
27,San Policarpo,PH,77.99,overcast clouds,12.1791,125.5072,JM Lodge
28,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Portland,US,80.38,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
39,Kommunar,RU,76.53,scattered clouds,59.6206,30.39,Guest House Izhora
40,Laharpur,IN,87.39,overcast clouds,27.7167,80.9,Babu Ji Moeed
44,Coahuayana,MX,89.55,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
45,Katsuura,JP,82.11,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
46,Parry Sound,CA,78.87,overcast clouds,45.3501,-80.033,Bayside Inn
47,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
51,Lompoc,US,89.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
53,Pakxan,LA,75.31,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
57,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
67,Mandsaur,IN,84.56,overcast clouds,24.0667,75.0667,Hotel Galaxy Inn mandsaur
68,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
69,Kavieng,PG,83.52,light rain,-2.5744,150.7967,Nusa Island Retreat
72,Bubaque,GW,80.8,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
78,Auki,SB,82.56,scattered clouds,-8.7676,160.7034,Auki Motel
79,Gizo,SB,82.96,light rain,-8.103,156.8419,Imagination Island
80,Mitsamiouli,KM,77.04,broken clouds,-11.3847,43.2844,Foyer ADM
81,Suruc,TR,89.8,scattered clouds,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
82,Bengkulu,ID,76.51,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,Fortuna,US,83.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
95,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
99,Dhidhdhoo,MV,81.7,few clouds,6.8833,73.1,Dhidhoo beach
101,Broome,US,78.17,clear sky,42.2506,-75.833,Chenango Valley State Park
