City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marovoay,MG,-16.1,46.6333,69.94,65,22,3.44,few clouds
1,Hermanus,ZA,-34.4187,19.2345,54.9,76,1,6.6,clear sky
2,Cape Town,ZA,-33.9258,18.4232,55.11,99,0,4.61,mist
3,Chapais,CA,49.7834,-74.8492,71.38,42,81,8.05,broken clouds
4,Talgar,KZ,43.3027,77.2395,62.76,77,90,4.47,overcast clouds
5,Vardo,NO,70.3705,31.1107,52.0,77,87,11.97,overcast clouds
6,Alofi,NU,-19.0595,-169.9187,78.69,83,18,17.27,few clouds
7,Kindu,CD,-2.95,25.95,79.63,43,93,2.3,overcast clouds
8,Suntar,RU,62.1444,117.6319,64.31,67,22,4.88,few clouds
9,Mataura,NZ,-46.1927,168.8643,44.47,98,94,2.64,light rain
10,Plettenberg Bay,ZA,-34.0527,23.3716,55.65,36,0,5.14,clear sky
11,Tiksi,RU,71.6872,128.8694,38.28,82,100,11.27,overcast clouds
12,Zhangye,CN,38.9342,100.4517,74.68,39,0,4.68,clear sky
13,Bluff,NZ,-46.6,168.3333,44.8,92,99,5.17,overcast clouds
14,Georgetown,MY,5.4112,100.3354,80.89,75,20,3.0,few clouds
15,Jamestown,US,42.097,-79.2353,72.3,97,90,1.99,moderate rain
16,Benjamin Hill,MX,30.1667,-111.1,89.28,45,75,9.13,broken clouds
17,Beringovskiy,RU,63.05,179.3167,47.28,92,100,7.4,light rain
18,Kondopoga,RU,62.2057,34.2614,62.28,55,0,5.28,clear sky
19,Butaritari,KI,3.0707,172.7902,83.97,77,71,18.72,light rain
20,Los Banos,PH,14.1667,121.1833,79.57,90,98,1.21,overcast clouds
21,Albany,US,42.6001,-73.9662,84.45,60,78,8.95,broken clouds
22,Vostok,RU,46.4856,135.8833,73.72,76,5,4.65,clear sky
23,Ushuaia,AR,-54.8,-68.3,31.66,86,20,3.44,few clouds
24,Tasiilaq,GL,65.6145,-37.6368,42.15,66,0,7.61,clear sky
25,Port Alfred,ZA,-33.5906,26.891,59.88,26,0,9.4,clear sky
26,Hami,CN,42.8,93.45,85.64,19,0,4.94,clear sky
27,San Policarpo,PH,12.1791,125.5072,77.99,88,100,5.3,overcast clouds
28,Kapaa,US,22.0752,-159.319,84.18,78,89,3.0,overcast clouds
29,Busselton,AU,-33.65,115.3333,47.05,78,100,2.06,overcast clouds
30,Nioki,CD,-2.7167,17.6833,77.04,42,43,2.95,scattered clouds
31,Kidal,ML,18.4411,1.4078,94.93,11,2,7.14,clear sky
32,Abonnema,NG,4.7084,6.7931,73.09,93,100,2.51,overcast clouds
33,Araouane,ML,18.9048,-3.5265,97.12,21,31,3.42,scattered clouds
34,Portland,US,45.5234,-122.6762,80.38,51,65,1.99,broken clouds
35,Buta,CD,2.7858,24.73,70.14,99,95,2.64,overcast clouds
36,Saskylakh,RU,71.9167,114.0833,41.41,77,100,9.1,overcast clouds
37,Natagaima,CO,3.6206,-75.0941,92.48,40,9,5.7,clear sky
38,Kragero,NO,58.8693,9.4149,67.19,80,0,4.21,clear sky
39,Kommunar,RU,59.6206,30.39,76.53,71,38,4.09,scattered clouds
40,Laharpur,IN,27.7167,80.9,87.39,66,97,7.11,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,35.71,93,75,8.05,mist
42,Alihe,CN,50.5667,123.7167,68.11,77,100,2.13,overcast clouds
