City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-07-12 23:20:10,-23.1203,-134.9692,73.85,74,1,11.72
1,Urazovo,RU,2021-07-12 23:23:39,50.0836,38.0395,66.65,67,0,6.38
2,Digha,IN,2021-07-12 23:24:06,21.6833,87.55,82.85,79,99,8.43
3,Tiksi,RU,2021-07-12 23:24:07,71.6872,128.8694,46.15,67,43,7.94
4,Georgetown,MY,2021-07-12 23:24:07,5.4112,100.3354,79.9,88,40,2.3
5,Albany,US,2021-07-12 23:24:07,42.6001,-73.9662,71.55,95,99,1.99
6,Tshela,CD,2021-07-12 23:24:07,-4.9833,12.9333,65.84,97,46,2.33
7,Port Alfred,ZA,2021-07-12 23:24:08,-33.5906,26.891,53.13,79,75,29.01
8,Wagar,SD,2021-07-12 23:24:08,16.1525,36.2032,85.55,55,80,15.61
9,Ushuaia,AR,2021-07-12 23:20:37,-54.8,-68.3,35.26,80,75,13.8
10,Bambous Virieux,MU,2021-07-12 23:24:08,-20.3428,57.7575,70.05,68,40,11.5
11,Cape Town,ZA,2021-07-12 23:24:08,-33.9258,18.4232,50.11,82,75,5.99
12,Cap Malheureux,MU,2021-07-12 23:24:09,-19.9842,57.6142,70.29,72,0,3.0
13,Mayna,RU,2021-07-12 23:24:09,54.1135,47.6231,58.96,76,0,4.07
14,Avarua,CK,2021-07-12 23:21:40,-21.2078,-159.775,80.65,69,20,12.66
15,Nikolskoye,RU,2021-07-12 23:24:09,59.7035,30.7861,64.4,62,2,2.73
16,Cabatuan,PH,2021-07-12 23:24:09,10.8794,122.486,79.81,87,100,3.56
17,Kiunga,PG,2021-07-12 23:24:10,-6.1219,141.2906,74.82,97,91,3.6
18,Tuy Hoa,VN,2021-07-12 23:24:10,13.0833,109.3,76.71,91,92,4.45
19,Carutapera,BR,2021-07-12 23:24:10,-1.195,-46.02,77.36,86,100,7.16
20,Narsaq,GL,2021-07-12 23:24:10,60.9167,-46.05,48.42,87,100,4.92
21,New Norfolk,AU,2021-07-12 23:24:11,-42.7826,147.0587,50.92,80,67,3.0
22,Linfen,CN,2021-07-12 23:24:11,36.0889,111.5189,82.72,55,6,3.18
23,Kavaratti,IN,2021-07-12 23:24:11,10.5669,72.642,82.54,82,96,22.12
24,Samarai,PG,2021-07-12 23:23:12,-10.6167,150.6667,79.66,84,46,14.03
25,Atuona,PF,2021-07-12 23:22:39,-9.8,-139.0333,77.29,77,15,22.19
26,Yellowknife,CA,2021-07-12 23:24:11,62.456,-114.3525,76.28,31,75,14.97
27,Pechenga,RU,2021-07-12 23:24:12,69.5259,31.1703,54.46,90,100,8.81
28,Codrington,AU,2021-07-12 23:24:12,-38.2667,141.9667,50.18,93,100,11.52
29,Seoul,KR,2021-07-12 23:22:20,37.5683,126.9778,83.77,74,40,6.91
30,Punta Arenas,CL,2021-07-12 23:24:12,-53.15,-70.9167,35.71,87,20,34.52
31,Barrow,US,2021-07-12 23:24:12,71.2906,-156.7887,48.22,72,40,19.57
32,Chokurdakh,RU,2021-07-12 23:24:13,70.6333,147.9167,47.17,41,100,9.82
33,Karratha,AU,2021-07-12 23:24:13,-20.7377,116.8463,71.65,92,40,6.55
34,Butaritari,KI,2021-07-12 23:24:13,3.0707,172.7902,82.58,77,79,13.87
35,Cilegon,ID,2021-07-12 23:24:13,-6.0174,106.0538,73.29,84,91,6.76
36,Bluff,NZ,2021-07-12 23:24:14,-46.6,168.3333,45.64,77,70,7.2
37,Khatanga,RU,2021-07-12 23:24:14,71.9667,102.5,45.63,57,100,5.86
38,Arraial Do Cabo,BR,2021-07-12 23:24:14,-22.9661,-42.0278,60.76,94,20,0.0
39,Hobart,AU,2021-07-12 23:21:58,-42.8794,147.3294,50.25,78,20,3.0
40,Mataura,NZ,2021-07-12 23:24:14,-46.1927,168.8643,42.46,91,84,2.06
41,Ngunguru,NZ,2021-07-12 23:24:15,-35.6167,174.5,56.16,64,99,15.19
42,Nampula,MZ,2021-07-12 23:24:15,-15.1165,39.2666,67.95,88,20,3.44
43,Kruisfontein,ZA,2021-07-12 23:24:15,-34.0033,24.7314,48.88,61,99,28.97
44,Severnyy,RU,2021-07-12 23:24:15,50.677,36.5532,69.84,64,0,4.47
45,Vardo,NO,2021-07-12 23:24:16,70.3705,31.1107,52.21,87,100,16.13
46,Luderitz,NA,2021-07-12 23:24:16,-26.6481,15.1594,53.29,76,19,10.33
47,Lebu,CL,2021-07-12 23:24:16,-37.6167,-73.65,48.72,82,0,6.29
48,Kurilsk,RU,2021-07-12 23:24:16,45.2333,147.8833,61.61,82,78,3.94
49,East London,ZA,2021-07-12 23:24:17,-33.0153,27.9116,56.77,67,84,27.34
50,Saint Anthony,US,2021-07-12 23:24:17,45.0205,-93.218,83.91,44,1,1.99
51,Koumac,NC,2021-07-12 23:24:17,-20.5667,164.2833,71.98,66,38,3.15
52,Vao,NC,2021-07-12 23:24:17,-22.6667,167.4833,67.6,66,100,14.03
53,Erenhot,CN,2021-07-12 23:24:18,43.6475,111.9767,72.7,65,93,6.6
54,Geraldton,AU,2021-07-12 23:24:18,-28.7667,114.6,63.01,77,75,16.11
55,Hasaki,JP,2021-07-12 23:24:18,35.7333,140.8333,77.29,89,100,2.98
